,time,volume,open,high,low,close
1970-01-01 00:00:00.000000000,2019-03-01T04:19:00.000000000Z,6,111.674,111.676,111.674,111.676
1970-01-01 00:00:00.000000001,2019-03-01T04:21:00.000000000Z,6,111.674,111.674,111.672,111.672
1970-01-01 00:00:00.000000002,2019-03-01T04:22:00.000000000Z,2,111.674,111.676,111.674,111.676
1970-01-01 00:00:00.000000003,2019-03-01T04:23:00.000000000Z,4,111.674,111.674,111.667,111.667
1970-01-01 00:00:00.000000004,2019-03-01T04:24:00.000000000Z,1,111.670,111.670,111.670,111.670
1970-01-01 00:00:00.000000005,2019-03-01T04:25:00.000000000Z,2,111.672,111.674,111.672,111.674
1970-01-01 00:00:00.000000006,2019-03-01T04:27:00.000000000Z,5,111.672,111.672,111.667,111.672
1970-01-01 00:00:00.000000007,2019-03-01T04:28:00.000000000Z,5,111.674,111.674,111.669,111.669
1970-01-01 00:00:00.000000008,2019-03-01T04:29:00.000000000Z,5,111.666,111.666,111.662,111.662
1970-01-01 00:00:00.000000009,2019-03-01T04:31:00.000000000Z,4,111.664,111.667,111.662,111.662
1970-01-01 00:00:00.000000010,2019-03-01T04:32:00.000000000Z,6,111.660,111.662,111.658,111.662
1970-01-01 00:00:00.000000011,2019-03-01T04:33:00.000000000Z,1,111.665,111.665,111.665,111.665
1970-01-01 00:00:00.000000012,2019-03-01T04:34:00.000000000Z,2,111.662,111.664,111.662,111.664
1970-01-01 00:00:00.000000013,2019-03-01T04:35:00.000000000Z,1,111.668,111.668,111.668,111.668
1970-01-01 00:00:00.000000014,2019-03-01T04:36:00.000000000Z,7,111.670,111.675,111.670,111.674
1970-01-01 00:00:00.000000015,2019-03-01T04:37:00.000000000Z,20,111.672,111.672,111.656,111.663
1970-01-01 00:00:00.000000016,2019-03-01T04:38:00.000000000Z,5,111.661,111.661,111.651,111.651
1970-01-01 00:00:00.000000017,2019-03-01T04:39:00.000000000Z,11,111.648,111.656,111.648,111.648
1970-01-01 00:00:00.000000018,2019-03-01T04:40:00.000000000Z,4,111.651,111.652,111.649,111.649
1970-01-01 00:00:00.000000019,2019-03-01T04:41:00.000000000Z,5,111.646,111.652,111.646,111.652
1970-01-01 00:00:00.000000020,2019-03-01T04:42:00.000000000Z,7,111.650,111.650,111.645,111.645
1970-01-01 00:00:00.000000021,2019-03-01T04:43:00.000000000Z,4,111.647,111.647,111.642,111.645
1970-01-01 00:00:00.000000022,2019-03-01T04:44:00.000000000Z,1,111.642,111.642,111.642,111.642
1970-01-01 00:00:00.000000023,2019-03-01T04:45:00.000000000Z,4,111.646,111.648,111.646,111.648
1970-01-01 00:00:00.000000024,2019-03-01T04:48:00.000000000Z,1,111.650,111.650,111.650,111.650
1970-01-01 00:00:00.000000025,2019-03-01T04:49:00.000000000Z,3,111.648,111.650,111.648,111.648
1970-01-01 00:00:00.000000026,2019-03-01T04:50:00.000000000Z,1,111.650,111.650,111.650,111.650
1970-01-01 00:00:00.000000027,2019-03-01T04:51:00.000000000Z,2,111.653,111.653,111.651,111.651
1970-01-01 00:00:00.000000028,2019-03-01T04:52:00.000000000Z,4,111.653,111.656,111.650,111.650
1970-01-01 00:00:00.000000029,2019-03-01T04:53:00.000000000Z,3,111.652,111.655,111.652,111.653
1970-01-01 00:00:00.000000030,2019-03-01T04:54:00.000000000Z,9,111.650,111.670,111.650,111.670
1970-01-01 00:00:00.000000031,2019-03-01T04:55:00.000000000Z,5,111.668,111.668,111.664,111.664
1970-01-01 00:00:00.000000032,2019-03-01T05:00:00.000000000Z,1,111.666,111.666,111.666,111.666
1970-01-01 00:00:00.000000033,2019-03-01T05:03:00.000000000Z,11,111.663,111.668,111.658,111.663
1970-01-01 00:00:00.000000034,2019-03-01T05:04:00.000000000Z,2,111.666,111.668,111.666,111.668
1970-01-01 00:00:00.000000035,2019-03-01T05:06:00.000000000Z,7,111.670,111.676,111.670,111.671
1970-01-01 00:00:00.000000036,2019-03-01T05:07:00.000000000Z,1,111.668,111.668,111.668,111.668
1970-01-01 00:00:00.000000037,2019-03-01T05:08:00.000000000Z,3,111.670,111.670,111.668,111.670
1970-01-01 00:00:00.000000038,2019-03-01T05:10:00.000000000Z,4,111.673,111.673,111.670,111.670
1970-01-01 00:00:00.000000039,2019-03-01T05:11:00.000000000Z,1,111.673,111.673,111.673,111.673
1970-01-01 00:00:00.000000040,2019-03-01T05:12:00.000000000Z,3,111.676,111.678,111.676,111.676
1970-01-01 00:00:00.000000041,2019-03-01T05:13:00.000000000Z,3,111.678,111.680,111.678,111.678
1970-01-01 00:00:00.000000042,2019-03-01T05:17:00.000000000Z,3,111.680,111.686,111.680,111.686
1970-01-01 00:00:00.000000043,2019-03-01T05:18:00.000000000Z,7,111.688,111.700,111.688,111.698
1970-01-01 00:00:00.000000044,2019-03-01T05:19:00.000000000Z,4,111.700,111.708,111.700,111.708
1970-01-01 00:00:00.000000045,2019-03-01T05:20:00.000000000Z,4,111.711,111.716,111.711,111.714
1970-01-01 00:00:00.000000046,2019-03-01T05:21:00.000000000Z,5,111.716,111.721,111.716,111.721
1970-01-01 00:00:00.000000047,2019-03-01T05:22:00.000000000Z,9,111.724,111.734,111.724,111.734
1970-01-01 00:00:00.000000048,2019-03-01T05:23:00.000000000Z,6,111.731,111.733,111.726,111.733
1970-01-01 00:00:00.000000049,2019-03-01T05:24:00.000000000Z,2,111.736,111.738,111.736,111.738
1970-01-01 00:00:00.000000050,2019-03-01T05:25:00.000000000Z,6,111.736,111.736,111.726,111.729
1970-01-01 00:00:00.000000051,2019-03-01T05:26:00.000000000Z,11,111.732,111.732,111.728,111.731
1970-01-01 00:00:00.000000052,2019-03-01T05:27:00.000000000Z,8,111.733,111.738,111.731,111.731
1970-01-01 00:00:00.000000053,2019-03-01T05:28:00.000000000Z,5,111.728,111.730,111.724,111.724
1970-01-01 00:00:00.000000054,2019-03-01T05:29:00.000000000Z,1,111.726,111.726,111.726,111.726
1970-01-01 00:00:00.000000055,2019-03-01T05:31:00.000000000Z,3,111.723,111.723,111.718,111.718
1970-01-01 00:00:00.000000056,2019-03-01T05:32:00.000000000Z,5,111.720,111.720,111.718,111.720
1970-01-01 00:00:00.000000057,2019-03-01T05:33:00.000000000Z,5,111.717,111.717,111.710,111.712
1970-01-01 00:00:00.000000058,2019-03-01T05:34:00.000000000Z,2,111.710,111.710,111.707,111.707
1970-01-01 00:00:00.000000059,2019-03-01T05:35:00.000000000Z,3,111.704,111.704,111.702,111.704
1970-01-01 00:00:00.000000060,2019-03-01T05:36:00.000000000Z,4,111.702,111.704,111.698,111.698
1970-01-01 00:00:00.000000061,2019-03-01T05:37:00.000000000Z,5,111.700,111.706,111.700,111.701
1970-01-01 00:00:00.000000062,2019-03-01T05:38:00.000000000Z,1,111.698,111.698,111.698,111.698
1970-01-01 00:00:00.000000063,2019-03-01T05:39:00.000000000Z,3,111.700,111.700,111.698,111.700
1970-01-01 00:00:00.000000064,2019-03-01T05:40:00.000000000Z,1,111.698,111.698,111.698,111.698
1970-01-01 00:00:00.000000065,2019-03-01T05:42:00.000000000Z,2,111.696,111.696,111.693,111.693
1970-01-01 00:00:00.000000066,2019-03-01T05:44:00.000000000Z,5,111.696,111.700,111.692,111.700
1970-01-01 00:00:00.000000067,2019-03-01T05:45:00.000000000Z,4,111.698,111.698,111.694,111.695
1970-01-01 00:00:00.000000068,2019-03-01T05:46:00.000000000Z,4,111.692,111.698,111.692,111.695
1970-01-01 00:00:00.000000069,2019-03-01T05:47:00.000000000Z,4,111.697,111.697,111.692,111.694
1970-01-01 00:00:00.000000070,2019-03-01T05:48:00.000000000Z,2,111.692,111.694,111.692,111.694
1970-01-01 00:00:00.000000071,2019-03-01T05:49:00.000000000Z,2,111.692,111.695,111.692,111.695
1970-01-01 00:00:00.000000072,2019-03-01T05:50:00.000000000Z,3,111.697,111.702,111.697,111.702
1970-01-01 00:00:00.000000073,2019-03-01T05:52:00.000000000Z,9,111.704,111.720,111.704,111.720
1970-01-01 00:00:00.000000074,2019-03-01T05:53:00.000000000Z,2,111.722,111.722,111.720,111.720
1970-01-01 00:00:00.000000075,2019-03-01T05:54:00.000000000Z,1,111.722,111.722,111.722,111.722
1970-01-01 00:00:00.000000076,2019-03-01T05:55:00.000000000Z,5,111.720,111.722,111.720,111.720
1970-01-01 00:00:00.000000077,2019-03-01T05:56:00.000000000Z,2,111.716,111.718,111.716,111.718
1970-01-01 00:00:00.000000078,2019-03-01T05:57:00.000000000Z,5,111.722,111.722,111.714,111.717
1970-01-01 00:00:00.000000079,2019-03-01T05:58:00.000000000Z,3,111.714,111.717,111.714,111.714
1970-01-01 00:00:00.000000080,2019-03-01T05:59:00.000000000Z,2,111.712,111.714,111.712,111.714
1970-01-01 00:00:00.000000081,2019-03-01T06:00:00.000000000Z,7,111.712,111.717,111.710,111.712
1970-01-01 00:00:00.000000082,2019-03-01T06:01:00.000000000Z,8,111.710,111.724,111.710,111.722
1970-01-01 00:00:00.000000083,2019-03-01T06:02:00.000000000Z,3,111.720,111.724,111.720,111.724
1970-01-01 00:00:00.000000084,2019-03-01T06:04:00.000000000Z,2,111.727,111.727,111.725,111.725
1970-01-01 00:00:00.000000085,2019-03-01T06:07:00.000000000Z,4,111.722,111.724,111.720,111.724
1970-01-01 00:00:00.000000086,2019-03-01T06:09:00.000000000Z,8,111.728,111.742,111.728,111.740
1970-01-01 00:00:00.000000087,2019-03-01T06:11:00.000000000Z,1,111.737,111.737,111.737,111.737
1970-01-01 00:00:00.000000088,2019-03-01T06:12:00.000000000Z,10,111.739,111.739,111.724,111.724
1970-01-01 00:00:00.000000089,2019-03-01T06:13:00.000000000Z,3,111.722,111.722,111.719,111.721
1970-01-01 00:00:00.000000090,2019-03-01T06:14:00.000000000Z,3,111.724,111.726,111.724,111.724
1970-01-01 00:00:00.000000091,2019-03-01T06:15:00.000000000Z,3,111.726,111.730,111.726,111.728
1970-01-01 00:00:00.000000092,2019-03-01T06:16:00.000000000Z,1,111.730,111.730,111.730,111.730
1970-01-01 00:00:00.000000093,2019-03-01T06:17:00.000000000Z,9,111.728,111.742,111.728,111.742
1970-01-01 00:00:00.000000094,2019-03-01T06:18:00.000000000Z,9,111.740,111.740,111.729,111.734
1970-01-01 00:00:00.000000095,2019-03-01T06:19:00.000000000Z,2,111.736,111.739,111.736,111.739
1970-01-01 00:00:00.000000096,2019-03-01T06:20:00.000000000Z,10,111.742,111.745,111.737,111.745
1970-01-01 00:00:00.000000097,2019-03-01T06:21:00.000000000Z,4,111.743,111.743,111.740,111.740
1970-01-01 00:00:00.000000098,2019-03-01T06:22:00.000000000Z,17,111.742,111.760,111.742,111.754
1970-01-01 00:00:00.000000099,2019-03-01T06:23:00.000000000Z,19,111.756,111.774,111.756,111.772
1970-01-01 00:00:00.000000100,2019-03-01T06:24:00.000000000Z,5,111.769,111.776,111.769,111.774
1970-01-01 00:00:00.000000101,2019-03-01T06:25:00.000000000Z,6,111.772,111.775,111.770,111.775
1970-01-01 00:00:00.000000102,2019-03-01T06:26:00.000000000Z,4,111.778,111.782,111.778,111.780
1970-01-01 00:00:00.000000103,2019-03-01T06:27:00.000000000Z,2,111.777,111.777,111.774,111.774
1970-01-01 00:00:00.000000104,2019-03-01T06:28:00.000000000Z,9,111.771,111.771,111.756,111.756
1970-01-01 00:00:00.000000105,2019-03-01T06:29:00.000000000Z,2,111.759,111.762,111.759,111.762
1970-01-01 00:00:00.000000106,2019-03-01T06:30:00.000000000Z,4,111.760,111.760,111.757,111.757
1970-01-01 00:00:00.000000107,2019-03-01T06:31:00.000000000Z,3,111.760,111.764,111.760,111.764
1970-01-01 00:00:00.000000108,2019-03-01T06:32:00.000000000Z,6,111.766,111.774,111.766,111.774
1970-01-01 00:00:00.000000109,2019-03-01T06:33:00.000000000Z,3,111.772,111.776,111.772,111.776
1970-01-01 00:00:00.000000110,2019-03-01T06:34:00.000000000Z,3,111.774,111.777,111.774,111.774
1970-01-01 00:00:00.000000111,2019-03-01T06:35:00.000000000Z,7,111.777,111.782,111.773,111.773
1970-01-01 00:00:00.000000112,2019-03-01T06:36:00.000000000Z,5,111.775,111.775,111.770,111.770
1970-01-01 00:00:00.000000113,2019-03-01T06:37:00.000000000Z,10,111.768,111.778,111.768,111.776
1970-01-01 00:00:00.000000114,2019-03-01T06:38:00.000000000Z,3,111.774,111.774,111.768,111.768
1970-01-01 00:00:00.000000115,2019-03-01T06:39:00.000000000Z,3,111.771,111.774,111.771,111.771
1970-01-01 00:00:00.000000116,2019-03-01T06:40:00.000000000Z,3,111.768,111.771,111.768,111.768
1970-01-01 00:00:00.000000117,2019-03-01T06:41:00.000000000Z,6,111.771,111.783,111.771,111.783
1970-01-01 00:00:00.000000118,2019-03-01T06:42:00.000000000Z,6,111.780,111.782,111.777,111.777
1970-01-01 00:00:00.000000119,2019-03-01T06:44:00.000000000Z,6,111.780,111.782,111.777,111.777
1970-01-01 00:00:00.000000120,2019-03-01T06:45:00.000000000Z,9,111.774,111.776,111.770,111.774
1970-01-01 00:00:00.000000121,2019-03-01T06:46:00.000000000Z,5,111.776,111.784,111.776,111.781
1970-01-01 00:00:00.000000122,2019-03-01T06:48:00.000000000Z,3,111.779,111.779,111.774,111.774
1970-01-01 00:00:00.000000123,2019-03-01T06:49:00.000000000Z,5,111.776,111.780,111.776,111.780
1970-01-01 00:00:00.000000124,2019-03-01T06:50:00.000000000Z,1,111.777,111.777,111.777,111.777
1970-01-01 00:00:00.000000125,2019-03-01T06:52:00.000000000Z,14,111.780,111.802,111.780,111.797
1970-01-01 00:00:00.000000126,2019-03-01T06:53:00.000000000Z,13,111.799,111.812,111.799,111.804
1970-01-01 00:00:00.000000127,2019-03-01T06:54:00.000000000Z,6,111.801,111.808,111.801,111.808
1970-01-01 00:00:00.000000128,2019-03-01T06:55:00.000000000Z,12,111.806,111.818,111.801,111.813
1970-01-01 00:00:00.000000129,2019-03-01T06:56:00.000000000Z,3,111.810,111.814,111.810,111.814
1970-01-01 00:00:00.000000130,2019-03-01T06:57:00.000000000Z,20,111.817,111.827,111.817,111.824
1970-01-01 00:00:00.000000131,2019-03-01T06:58:00.000000000Z,3,111.827,111.830,111.827,111.828
1970-01-01 00:00:00.000000132,2019-03-01T06:59:00.000000000Z,6,111.830,111.830,111.827,111.828
1970-01-01 00:00:00.000000133,2019-03-01T07:00:00.000000000Z,12,111.825,111.825,111.818,111.818
1970-01-01 00:00:00.000000134,2019-03-01T07:01:00.000000000Z,11,111.820,111.820,111.808,111.810
1970-01-01 00:00:00.000000135,2019-03-01T07:02:00.000000000Z,14,111.812,111.820,111.812,111.815
1970-01-01 00:00:00.000000136,2019-03-01T07:03:00.000000000Z,9,111.812,111.812,111.807,111.808
1970-01-01 00:00:00.000000137,2019-03-01T07:04:00.000000000Z,2,111.810,111.812,111.810,111.812
1970-01-01 00:00:00.000000138,2019-03-01T07:05:00.000000000Z,11,111.810,111.810,111.798,111.800
1970-01-01 00:00:00.000000139,2019-03-01T07:06:00.000000000Z,7,111.798,111.800,111.794,111.796
1970-01-01 00:00:00.000000140,2019-03-01T07:07:00.000000000Z,12,111.800,111.806,111.800,111.802
1970-01-01 00:00:00.000000141,2019-03-01T07:08:00.000000000Z,7,111.799,111.804,111.799,111.800
1970-01-01 00:00:00.000000142,2019-03-01T07:09:00.000000000Z,2,111.797,111.799,111.797,111.799
1970-01-01 00:00:00.000000143,2019-03-01T07:10:00.000000000Z,11,111.797,111.799,111.794,111.797
1970-01-01 00:00:00.000000144,2019-03-01T07:11:00.000000000Z,8,111.794,111.802,111.792,111.802
1970-01-01 00:00:00.000000145,2019-03-01T07:12:00.000000000Z,11,111.800,111.800,111.788,111.793
1970-01-01 00:00:00.000000146,2019-03-01T07:13:00.000000000Z,4,111.791,111.794,111.788,111.788
1970-01-01 00:00:00.000000147,2019-03-01T07:14:00.000000000Z,8,111.790,111.801,111.790,111.794
1970-01-01 00:00:00.000000148,2019-03-01T07:16:00.000000000Z,8,111.796,111.805,111.796,111.798
1970-01-01 00:00:00.000000149,2019-03-01T07:17:00.000000000Z,8,111.801,111.812,111.801,111.810
1970-01-01 00:00:00.000000150,2019-03-01T07:18:00.000000000Z,7,111.812,111.824,111.812,111.822
1970-01-01 00:00:00.000000151,2019-03-01T07:19:00.000000000Z,11,111.820,111.820,111.812,111.820
1970-01-01 00:00:00.000000152,2019-03-01T07:20:00.000000000Z,3,111.818,111.822,111.818,111.822
1970-01-01 00:00:00.000000153,2019-03-01T07:21:00.000000000Z,7,111.820,111.820,111.809,111.809
1970-01-01 00:00:00.000000154,2019-03-01T07:22:00.000000000Z,4,111.806,111.814,111.806,111.814
1970-01-01 00:00:00.000000155,2019-03-01T07:23:00.000000000Z,11,111.816,111.818,111.808,111.812
1970-01-01 00:00:00.000000156,2019-03-01T07:24:00.000000000Z,7,111.809,111.812,111.802,111.804
1970-01-01 00:00:00.000000157,2019-03-01T07:25:00.000000000Z,20,111.802,111.807,111.797,111.799
1970-01-01 00:00:00.000000158,2019-03-01T07:26:00.000000000Z,8,111.796,111.804,111.796,111.799
1970-01-01 00:00:00.000000159,2019-03-01T07:28:00.000000000Z,8,111.796,111.804,111.794,111.804
1970-01-01 00:00:00.000000160,2019-03-01T07:29:00.000000000Z,7,111.802,111.812,111.802,111.808
1970-01-01 00:00:00.000000161,2019-03-01T07:31:00.000000000Z,6,111.810,111.810,111.806,111.808
1970-01-01 00:00:00.000000162,2019-03-01T07:32:00.000000000Z,4,111.810,111.816,111.810,111.813
1970-01-01 00:00:00.000000163,2019-03-01T07:33:00.000000000Z,10,111.816,111.821,111.814,111.814
1970-01-01 00:00:00.000000164,2019-03-01T07:34:00.000000000Z,1,111.812,111.812,111.812,111.812
1970-01-01 00:00:00.000000165,2019-03-01T07:35:00.000000000Z,8,111.808,111.811,111.806,111.806
1970-01-01 00:00:00.000000166,2019-03-01T07:36:00.000000000Z,4,111.809,111.812,111.807,111.807
1970-01-01 00:00:00.000000167,2019-03-01T07:37:00.000000000Z,6,111.809,111.809,111.801,111.806
1970-01-01 00:00:00.000000168,2019-03-01T07:38:00.000000000Z,4,111.804,111.804,111.798,111.801
1970-01-01 00:00:00.000000169,2019-03-01T07:39:00.000000000Z,10,111.798,111.802,111.795,111.800
1970-01-01 00:00:00.000000170,2019-03-01T07:40:00.000000000Z,6,111.802,111.806,111.802,111.804
1970-01-01 00:00:00.000000171,2019-03-01T07:41:00.000000000Z,5,111.807,111.807,111.804,111.807
1970-01-01 00:00:00.000000172,2019-03-01T07:42:00.000000000Z,10,111.804,111.812,111.802,111.808
1970-01-01 00:00:00.000000173,2019-03-01T07:43:00.000000000Z,9,111.806,111.813,111.806,111.810
1970-01-01 00:00:00.000000174,2019-03-01T07:44:00.000000000Z,13,111.813,111.813,111.808,111.812
1970-01-01 00:00:00.000000175,2019-03-01T07:45:00.000000000Z,7,111.814,111.824,111.812,111.824
1970-01-01 00:00:00.000000176,2019-03-01T07:46:00.000000000Z,4,111.828,111.830,111.825,111.825
1970-01-01 00:00:00.000000177,2019-03-01T07:47:00.000000000Z,8,111.827,111.835,111.827,111.830
1970-01-01 00:00:00.000000178,2019-03-01T07:48:00.000000000Z,10,111.827,111.832,111.824,111.824
1970-01-01 00:00:00.000000179,2019-03-01T07:49:00.000000000Z,4,111.822,111.824,111.822,111.824
1970-01-01 00:00:00.000000180,2019-03-01T07:50:00.000000000Z,6,111.822,111.825,111.817,111.825
1970-01-01 00:00:00.000000181,2019-03-01T07:51:00.000000000Z,4,111.823,111.825,111.820,111.820
1970-01-01 00:00:00.000000182,2019-03-01T07:52:00.000000000Z,2,111.818,111.820,111.818,111.820
1970-01-01 00:00:00.000000183,2019-03-01T07:53:00.000000000Z,2,111.822,111.825,111.822,111.825
1970-01-01 00:00:00.000000184,2019-03-01T07:54:00.000000000Z,6,111.828,111.836,111.825,111.836
1970-01-01 00:00:00.000000185,2019-03-01T07:55:00.000000000Z,18,111.839,111.845,111.833,111.833
1970-01-01 00:00:00.000000186,2019-03-01T07:56:00.000000000Z,10,111.836,111.836,111.818,111.818
1970-01-01 00:00:00.000000187,2019-03-01T07:57:00.000000000Z,7,111.816,111.818,111.813,111.816
1970-01-01 00:00:00.000000188,2019-03-01T07:58:00.000000000Z,3,111.818,111.821,111.818,111.818
1970-01-01 00:00:00.000000189,2019-03-01T07:59:00.000000000Z,3,111.820,111.821,111.818,111.821
1970-01-01 00:00:00.000000190,2019-03-01T08:00:00.000000000Z,17,111.818,111.818,111.806,111.808
1970-01-01 00:00:00.000000191,2019-03-01T08:01:00.000000000Z,13,111.811,111.828,111.809,111.826
1970-01-01 00:00:00.000000192,2019-03-01T08:02:00.000000000Z,5,111.824,111.834,111.824,111.834
1970-01-01 00:00:00.000000193,2019-03-01T08:03:00.000000000Z,5,111.831,111.833,111.828,111.831
1970-01-01 00:00:00.000000194,2019-03-01T08:04:00.000000000Z,7,111.834,111.844,111.834,111.844
1970-01-01 00:00:00.000000195,2019-03-01T08:05:00.000000000Z,7,111.842,111.844,111.836,111.836
1970-01-01 00:00:00.000000196,2019-03-01T08:06:00.000000000Z,5,111.838,111.838,111.833,111.838
1970-01-01 00:00:00.000000197,2019-03-01T08:07:00.000000000Z,4,111.836,111.842,111.836,111.842
1970-01-01 00:00:00.000000198,2019-03-01T08:08:00.000000000Z,4,111.840,111.842,111.840,111.842
1970-01-01 00:00:00.000000199,2019-03-01T08:09:00.000000000Z,4,111.845,111.845,111.842,111.842
